"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2012","2012",599.2,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2013","2013",593,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2014","2014",606.4,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2015","2015",618.9,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2016","2016",656.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2017","2017",699,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2018","2018",745.1,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2019","2019",789.4,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2020","2020",658.5,"B","Break"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2021","2021",694.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2010","2010",502.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2011","2011",493.8,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2012","2012",483.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2013","2013",494.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2014","2014",517.9,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2015","2015",527.4,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2016","2016",545.2,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2017","2017",579.1,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2018","2018",608,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2019","2019",636.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2020","2020",661.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DNK","Denmark","2021","2021",661.1,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2010","2010",389.3,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2011","2011",398.3,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2012","2012",399.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2013","2013",408.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2014","2014",422.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2015","2015",442.3,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2016","2016",472.8,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2017","2017",486.4,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2018","2018",531.4,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2019","2019",574.3,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2020","2020",591.9,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FIN","Finland","2021","2021",622.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FRA","France","2010","2010",497.1,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FRA","France","2011","2011",503.7,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FRA","France","2012","2012",492.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","FRA","France","2013","2013",502,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2010","2010",451.5,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2011","2011",469.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2012","2012",480.8,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2013","2013",504.5,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2014","2014",539,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2015","2015",556.1,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2016","2016",582.8,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2017","2017",604.1,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2018","2018",725.4,"B; D","Break; Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2019","2019",774.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2020","2020",815.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","DEU","Germany","2021","2021",870.1,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2010","2010",394,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2011","2011",415.8,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2012","2012",356.7,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2013","2013",347.9,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2014","2014",346.9,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2015","2015",357.5,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2016","2016",385,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2017","2017",370.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2018","2018",368.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2019","2019",383.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2020","2020",393.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2021","2021",378,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","HUN","Hungary","2022","2022",382.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2010","2010",591.8,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2011","2011",605,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2012","2012",552.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2013","2013",586.6,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2014","2014",522.3,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2015","2015",519.6,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2016","2016",540.4,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2017","2017",558.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2018","2018",607,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2019","2019",663,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2020","2020",741.4,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ISL","Iceland","2021","2021",808.9,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2010","2010",529.1,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2011","2011",513.8,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2012","2012",540.1,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2013","2013",522.4,"B; D","Break; Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2014","2014",501.7,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2015","2015",521.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2016","2016",549.6,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2017","2017",556.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2018","2018",587.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2019","2019",605.2,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2020","2020",619.5,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","IRL","Ireland","2021","2021",655.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2011","2011",433.2,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2012","2012",428.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2013","2013",437.8,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2014","2014",442.3,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2015","2015",504.1,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2016","2016",536.4,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2017","2017",541.6,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2018","2018",543.3,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2019","2019",582.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2020","2020",601.4,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2021","2021",622.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","ITA","Italy","2022","2022",680.4,"E","Estimated value"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2010","2010",473.9,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2011","2011",508.7,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2012","2012",524.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2013","2013",534.1,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2014","2014",502.6,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2015","2015",513.1,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2016","2016",494.5,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2017","2017",504.7,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2018","2018",524.5,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2019","2019",721.6,"B; D","Break; Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2020","2020",717,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","JPN","Japan","2021","2021",716.8,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2010","2010",487.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2011","2011",516.8,"B","Break"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2012","2012",506.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2013","2013",514.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2014","2014",535,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2015","2015",562.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2016","2016",577.3,"B","Break"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2017","2017",601.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2018","2018",655.2,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2019","2019",700,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2020","2020",749,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","KOR","Korea","2021","2021",785.3,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2010","2010",432.5,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2011","2011",436.5,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2012","2012",438.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2013","2013",433.8,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2014","2014",423.6,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2015","2015",421.8,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2016","2016",434.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2017","2017",426.8,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2018","2018",428.7,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2019","2019",436.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2020","2020",430.7,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2021","2021",485.1,"B; D; P","Break; Difference in methodology; Provisional value"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","LUX","Luxembourg","2022","2022",527.5,"D; P","Difference in methodology; Provisional value"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","MEX","Mexico","2013","2013",151.8,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","MEX","Mexico","2018","2018",196.2,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","NLD","Netherlands","2010","2010",367.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","NLD","Netherlands","2011","2011",373.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","NLD","Netherlands","2012","2012",333.6,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","NLD","Netherlands","2013","2013",320.7,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","NLD","Netherlands","2014","2014",317.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","NLD","Netherlands","2015","2015",325.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","NLD","Netherlands","2016","2016",334.6,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","NLD","Netherlands","2017","2017",340.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","NLD","Netherlands","2018","2018",345.5,"D","Difference in methodology"
