Country,Pharma_Sales_Variable,Pharma_Sales_Value,Life_Expectancy_Variable,Life_Expectancy_Value,Missingness_Indicator
Slovenia,M-Musculo-skeletal system,12.9,Males at age 40,39.2,0
Slovenia,M01A-Antiinflammatory and antirheumatic products non-steroids,7.0,Females at age 40,44.7,0
Slovenia,M01A-Antiinflammatory and antirheumatic products non-steroids,7.0,Males at age 40,39.2,0
Slovenia,N-Nervous system,57.1,Females at age 40,44.7,0
Slovenia,N-Nervous system,57.1,Males at age 40,39.2,0
Slovenia,N02-Analgesics,14.6,Females at age 40,44.7,0
Slovenia,N02-Analgesics,14.6,Males at age 40,39.2,0
Slovenia,N05B-Anxiolytics,2.3,Females at age 40,44.7,0
Slovenia,N05B-Anxiolytics,2.3,Males at age 40,39.2,0
Slovenia,N05C-Hypnotics and sedatives,2.0,Females at age 40,44.7,0
Slovenia,N05C-Hypnotics and sedatives,2.0,Males at age 40,39.2,0
Slovenia,N06A-Antidepressants,11.1,Females at age 40,44.7,0
Slovenia,N06A-Antidepressants,11.1,Males at age 40,39.2,0
Slovenia,R-Respiratory system,21.9,Females at age 40,44.7,0
Slovenia,R-Respiratory system,21.9,Males at age 40,39.2,0
Slovenia,R03-Drugs for obstructive airway diseases,17.5,Females at age 40,44.7,0
Slovenia,R03-Drugs for obstructive airway diseases,17.5,Males at age 40,39.2,0
Slovenia,Products not elsewhere classified,173.9,Females at age 40,44.7,1
Slovenia,Products not elsewhere classified,158.5,Males at age 40,39.2,1
Latvia,Total pharmaceutical sales,318.5,Males at age 40,31.9,0
Latvia,Total pharmaceutical sales,318.5,Females at age 40,40.8,0
Latvia,A-Alimentary tract and metabolism,43.0,Males at age 40,31.9,0
Latvia,A-Alimentary tract and metabolism,43.0,Females at age 40,40.8,0
Latvia,A02A-Antacids,0.4,Males at age 40,31.9,0
Latvia,A02A-Antacids,0.4,Females at age 40,40.8,0
Latvia,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),4.9,Males at age 40,31.9,0
Latvia,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),4.9,Females at age 40,40.8,0
Latvia,A10-Drugs used in diabetes,18.2,Males at age 40,31.9,0
Latvia,A10-Drugs used in diabetes,18.2,Females at age 40,40.8,0
Latvia,B-Blood and blood forming organs,22.3,Males at age 40,31.9,0
Latvia,B-Blood and blood forming organs,22.3,Females at age 40,40.8,0
Latvia,C-Cardiovascular system,54.6,Males at age 40,31.9,0
Latvia,C-Cardiovascular system,54.6,Females at age 40,40.8,0
Latvia,C01A-Cardiac glycosides,0.1,Males at age 40,31.9,0
Latvia,C01A-Cardiac glycosides,0.1,Females at age 40,40.8,0
Latvia,"C01B-Antiarrhythmics, Class I and III",0.6,Males at age 40,31.9,0
Latvia,"C01B-Antiarrhythmics, Class I and III",0.6,Females at age 40,40.8,0
Latvia,C02-Antihypertensives,3.2,Males at age 40,31.9,0
Latvia,C02-Antihypertensives,3.2,Females at age 40,40.8,0
Latvia,C03-Diuretics,2.2,Males at age 40,31.9,0
Latvia,C03-Diuretics,2.2,Females at age 40,40.8,0
Latvia,C07-Beta blocking agents,7.6,Males at age 40,31.9,0
Latvia,C07-Beta blocking agents,7.6,Females at age 40,40.8,0
Latvia,C08-Calcium channel blockers,3.2,Males at age 40,31.9,0
Latvia,C08-Calcium channel blockers,3.2,Females at age 40,40.8,0
Latvia,C09-Agents acting on the Renin-Angiotensin system,19.3,Males at age 40,31.9,0
Latvia,C09-Agents acting on the Renin-Angiotensin system,19.3,Females at age 40,40.8,0
Latvia,C10-Lipid modifying agents,5.7,Males at age 40,31.9,0
Latvia,C10-Lipid modifying agents,5.7,Females at age 40,40.8,0
Latvia,G-Genito urinary system and sex hormones,14.4,Males at age 40,31.9,0
Latvia,G-Genito urinary system and sex hormones,14.4,Females at age 40,40.8,0
Latvia,G03-Sex hormones and modulators of the genital system,6.3,Males at age 40,31.9,0
Latvia,G03-Sex hormones and modulators of the genital system,6.3,Females at age 40,40.8,0
Latvia,"H-Systemic hormonal preparations, excluding sex hormones and insulins",5.8,Males at age 40,31.9,0
Latvia,"H-Systemic hormonal preparations, excluding sex hormones and insulins",5.8,Females at age 40,40.8,0
Latvia,J-Antiinfectives for systemic use,31.4,Males at age 40,31.9,0
Latvia,J-Antiinfectives for systemic use,31.4,Females at age 40,40.8,0
Latvia,J01-Antibacterials for systemic use,9.9,Males at age 40,31.9,0
Latvia,J01-Antibacterials for systemic use,9.9,Females at age 40,40.8,0
Latvia,M-Musculo-skeletal system,21.0,Males at age 40,31.9,0
Latvia,M-Musculo-skeletal system,21.0,Females at age 40,40.8,0
Latvia,M01A-Antiinflammatory and antirheumatic products non-steroids,13.1,Males at age 40,31.9,0
Latvia,M01A-Antiinflammatory and antirheumatic products non-steroids,13.1,Females at age 40,40.8,0
Latvia,N-Nervous system,34.0,Males at age 40,31.9,0
Latvia,N-Nervous system,34.0,Females at age 40,40.8,0
Latvia,N02-Analgesics,7.4,Males at age 40,31.9,0
Latvia,N02-Analgesics,7.4,Females at age 40,40.8,0
Latvia,N05B-Anxiolytics,2.6,Males at age 40,31.9,0
Latvia,N05B-Anxiolytics,2.6,Females at age 40,40.8,0
Latvia,N05C-Hypnotics and sedatives,2.8,Males at age 40,31.9,0
Latvia,N05C-Hypnotics and sedatives,2.8,Females at age 40,40.8,0
Latvia,N06A-Antidepressants,2.3,Males at age 40,31.9,0
Latvia,N06A-Antidepressants,2.3,Females at age 40,40.8,0
Latvia,R-Respiratory system,24.2,Males at age 40,31.9,0
Latvia,R-Respiratory system,24.2,Females at age 40,40.8,0
Latvia,R03-Drugs for obstructive airway diseases,9.6,Males at age 40,31.9,0
Latvia,R03-Drugs for obstructive airway diseases,9.6,Females at age 40,40.8,0
Latvia,Products not elsewhere classified,138.6,Males at age 40,31.9,1
Latvia,Products not elsewhere classified,119.9,Females at age 40,40.8,1
Sweden,Total pharmaceutical sales,446.8,Females at age 40,44.8,0
Sweden,Total pharmaceutical sales,446.8,Males at age 40,41.6,0
Sweden,A-Alimentary tract and metabolism,45.4,Females at age 40,44.8,0
Sweden,A-Alimentary tract and metabolism,45.4,Males at age 40,41.6,0
Sweden,A02A-Antacids,1.0,Females at age 40,44.8,0
Sweden,A02A-Antacids,1.0,Males at age 40,41.6,0
Sweden,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),5.6,Females at age 40,44.8,0
Sweden,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),5.6,Males at age 40,41.6,0
Sweden,A10-Drugs used in diabetes,16.7,Females at age 40,44.8,0
Sweden,A10-Drugs used in diabetes,16.7,Males at age 40,41.6,0
Sweden,B-Blood and blood forming organs,38.1,Females at age 40,44.8,0
Sweden,B-Blood and blood forming organs,38.1,Males at age 40,41.6,0
Sweden,C-Cardiovascular system,27.6,Females at age 40,44.8,0
Sweden,C-Cardiovascular system,27.6,Males at age 40,41.6,0
Sweden,C01A-Cardiac glycosides,0.2,Females at age 40,44.8,0
Sweden,C01A-Cardiac glycosides,0.2,Males at age 40,41.6,0
Sweden,"C01B-Antiarrhythmics, Class I and III",0.7,Females at age 40,44.8,0
Sweden,"C01B-Antiarrhythmics, Class I and III",0.7,Males at age 40,41.6,0
Sweden,C02-Antihypertensives,2.1,Females at age 40,44.8,0
Sweden,C02-Antihypertensives,2.1,Males at age 40,41.6,0
Sweden,C03-Diuretics,3.0,Females at age 40,44.8,0
Sweden,C03-Diuretics,3.0,Males at age 40,41.6,0
Sweden,C07-Beta blocking agents,5.0,Females at age 40,44.8,0
Sweden,C07-Beta blocking agents,5.0,Males at age 40,41.6,0
Sweden,C08-Calcium channel blockers,2.4,Females at age 40,44.8,0
Sweden,C08-Calcium channel blockers,2.4,Males at age 40,41.6,0
Sweden,C09-Agents acting on the Renin-Angiotensin system,4.9,Females at age 40,44.8,0
Sweden,C09-Agents acting on the Renin-Angiotensin system,4.9,Males at age 40,41.6,0
Sweden,C10-Lipid modifying agents,5.7,Females at age 40,44.8,0
Sweden,C10-Lipid modifying agents,5.7,Males at age 40,41.6,0
Sweden,G-Genito urinary system and sex hormones,19.9,Females at age 40,44.8,0
Sweden,G-Genito urinary system and sex hormones,19.9,Males at age 40,41.6,0
Sweden,G03-Sex hormones and modulators of the genital system,10.9,Females at age 40,44.8,0
Sweden,G03-Sex hormones and modulators of the genital system,10.9,Males at age 40,41.6,0
Sweden,"H-Systemic hormonal preparations, excluding sex hormones and insulins",11.4,Females at age 40,44.8,0
Sweden,"H-Systemic hormonal preparations, excluding sex hormones and insulins",11.4,Males at age 40,41.6,0
Sweden,J-Antiinfectives for systemic use,35.8,Females at age 40,44.8,0
Sweden,J-Antiinfectives for systemic use,35.8,Males at age 40,41.6,0
Sweden,J01-Antibacterials for systemic use,8.4,Females at age 40,44.8,0
Sweden,J01-Antibacterials for systemic use,8.4,Males at age 40,41.6,0
Sweden,M-Musculo-skeletal system,15.2,Females at age 40,44.8,0
Sweden,M-Musculo-skeletal system,15.2,Males at age 40,41.6,0
Sweden,M01A-Antiinflammatory and antirheumatic products non-steroids,8.5,Females at age 40,44.8,0
Sweden,M01A-Antiinflammatory and antirheumatic products non-steroids,8.5,Males at age 40,41.6,0
Sweden,N-Nervous system,86.8,Females at age 40,44.8,0
Sweden,N-Nervous system,86.8,Males at age 40,41.6,0
Sweden,N02-Analgesics,23.5,Females at age 40,44.8,0
Sweden,N02-Analgesics,23.5,Males at age 40,41.6,0
Sweden,N05B-Anxiolytics,2.4,Females at age 40,44.8,0
Sweden,N05B-Anxiolytics,2.4,Males at age 40,41.6,0
Sweden,N05C-Hypnotics and sedatives,4.0,Females at age 40,44.8,0
Sweden,N05C-Hypnotics and sedatives,4.0,Males at age 40,41.6,0
Sweden,N06A-Antidepressants,8.5,Females at age 40,44.8,0
Sweden,N06A-Antidepressants,8.5,Males at age 40,41.6,0
Sweden,R-Respiratory system,41.8,Females at age 40,44.8,0
Sweden,R-Respiratory system,41.8,Males at age 40,41.6,0
Sweden,R03-Drugs for obstructive airway diseases,23.4,Females at age 40,44.8,0
Sweden,R03-Drugs for obstructive airway diseases,23.4,Males at age 40,41.6,0
Sweden,Products not elsewhere classified,17.7,Females at age 40,44.8,1
Sweden,Products not elsewhere classified,148.3,Males at age 40,41.6,1
Hungary,Total pharmaceutical sales,346.9,Females at age 40,40.2,0
Hungary,Total pharmaceutical sales,346.9,Males at age 40,33.7,0
Hungary,A-Alimentary tract and metabolism,50.4,Females at age 40,40.2,0
Hungary,A-Alimentary tract and metabolism,50.4,Males at age 40,33.7,0
Hungary,A02A-Antacids,0.0,Females at age 40,40.2,0
Hungary,A02A-Antacids,0.0,Males at age 40,33.7,0
Hungary,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),6.9,Females at age 40,40.2,0
Hungary,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),6.9,Males at age 40,33.7,0
Hungary,A10-Drugs used in diabetes,30.1,Females at age 40,40.2,0
Hungary,A10-Drugs used in diabetes,30.1,Males at age 40,33.7,0
Hungary,B-Blood and blood forming organs,34.2,Females at age 40,40.2,0
Hungary,B-Blood and blood forming organs,34.2,Males at age 40,33.7,0
Hungary,C-Cardiovascular system,71.0,Females at age 40,40.2,0
Hungary,C-Cardiovascular system,71.0,Males at age 40,33.7,0
Hungary,C01A-Cardiac glycosides,0.2,Females at age 40,40.2,0
Hungary,C01A-Cardiac glycosides,0.2,Males at age 40,33.7,0
Hungary,"C01B-Antiarrhythmics, Class I and III",1.1,Females at age 40,40.2,0
Hungary,"C01B-Antiarrhythmics, Class I and III",1.1,Males at age 40,33.7,0
Hungary,C02-Antihypertensives,6.3,Females at age 40,40.2,0
Hungary,C02-Antihypertensives,6.3,Males at age 40,33.7,0
Hungary,C03-Diuretics,3.5,Females at age 40,40.2,0
Hungary,C03-Diuretics,3.5,Males at age 40,33.7,0
Hungary,C07-Beta blocking agents,7.6,Females at age 40,40.2,0
Hungary,C07-Beta blocking agents,7.6,Males at age 40,33.7,0
Hungary,C08-Calcium channel blockers,2.4,Females at age 40,40.2,0
Hungary,C08-Calcium channel blockers,2.4,Males at age 40,33.7,0
Hungary,C09-Agents acting on the Renin-Angiotensin system,26.9,Females at age 40,40.2,0
Hungary,C09-Agents acting on the Renin-Angiotensin system,26.9,Males at age 40,33.7,0
Hungary,C10-Lipid modifying agents,15.5,Females at age 40,40.2,0
Hungary,C10-Lipid modifying agents,15.5,Males at age 40,33.7,0
Hungary,G-Genito urinary system and sex hormones,7.5,Females at age 40,40.2,0
Hungary,G-Genito urinary system and sex hormones,7.5,Males at age 40,33.7,0
Hungary,G03-Sex hormones and modulators of the genital system,3.4,Females at age 40,40.2,0
Hungary,G03-Sex hormones and modulators of the genital system,3.4,Males at age 40,33.7,0
Hungary,"H-Systemic hormonal preparations, excluding sex hormones and insulins",7.1,Females at age 40,40.2,0
Hungary,"H-Systemic hormonal preparations, excluding sex hormones and insulins",7.1,Males at age 40,33.7,0
Hungary,J-Antiinfectives for systemic use,21.0,Females at age 40,40.2,0
Hungary,J-Antiinfectives for systemic use,21.0,Males at age 40,33.7,0
Hungary,J01-Antibacterials for systemic use,10.4,Females at age 40,40.2,0
Hungary,J01-Antibacterials for systemic use,10.4,Males at age 40,33.7,0
Hungary,M-Musculo-skeletal system,13.9,Females at age 40,40.2,0
Hungary,M-Musculo-skeletal system,13.9,Males at age 40,33.7,0
Hungary,M01A-Antiinflammatory and antirheumatic products non-steroids,4.4,Females at age 40,40.2,0
Hungary,M01A-Antiinflammatory and antirheumatic products non-steroids,4.4,Males at age 40,33.7,0
Hungary,N-Nervous system,46.8,Females at age 40,40.2,0
Hungary,N-Nervous system,46.8,Males at age 40,33.7,0
Hungary,N02-Analgesics,4.2,Females at age 40,40.2,0
Hungary,N02-Analgesics,4.2,Males at age 40,33.7,0
Hungary,N05B-Anxiolytics,2.3,Females at age 40,40.2,0
Hungary,N05B-Anxiolytics,2.3,Males at age 40,33.7,0
Hungary,N05C-Hypnotics and sedatives,0.0,Females at age 40,40.2,0
Hungary,N05C-Hypnotics and sedatives,0.0,Males at age 40,33.7,0
Hungary,N06A-Antidepressants,8.2,Females at age 40,40.2,0
Hungary,N06A-Antidepressants,8.2,Males at age 40,33.7,0
Hungary,R-Respiratory system,26.8,Females at age 40,40.2,0
Hungary,R-Respiratory system,26.8,Males at age 40,33.7,0
Hungary,R03-Drugs for obstructive airway diseases,23.2,Females at age 40,40.2,0
Hungary,R03-Drugs for obstructive airway diseases,23.2,Males at age 40,33.7,0
Hungary,Products not elsewhere classified,173.9,Females at age 40,40.2,1
Hungary,Products not elsewhere classified,49.7,Males at age 40,33.7,1
Italy,Total pharmaceutical sales,442.3,Females at age 40,46.2,0
Italy,Total pharmaceutical sales,442.3,Males at age 40,41.7,0
Italy,A-Alimentary tract and metabolism,57.5,Females at age 40,46.2,0
Italy,A-Alimentary tract and metabolism,57.5,Males at age 40,41.7,0
Italy,A02A-Antacids,0.5,Females at age 40,46.2,0
Italy,A02A-Antacids,0.5,Males at age 40,41.7,0
Italy,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),23.1,Females at age 40,46.2,0
Italy,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),23.1,Males at age 40,41.7,0
Italy,A10-Drugs used in diabetes,18.0,Females at age 40,46.2,0
Italy,A10-Drugs used in diabetes,18.0,Males at age 40,41.7,0
Italy,B-Blood and blood forming organs,41.2,Females at age 40,46.2,0
Italy,B-Blood and blood forming organs,41.2,Males at age 40,41.7,0
Italy,C-Cardiovascular system,80.6,Females at age 40,46.2,0
Italy,C-Cardiovascular system,80.6,Males at age 40,41.7,0
Italy,C01A-Cardiac glycosides,0.2,Females at age 40,46.2,0
Italy,C01A-Cardiac glycosides,0.2,Males at age 40,41.7,0
Italy,"C01B-Antiarrhythmics, Class I and III",1.7,Females at age 40,46.2,0
Italy,"C01B-Antiarrhythmics, Class I and III",1.7,Males at age 40,41.7,0
Italy,C02-Antihypertensives,4.4,Females at age 40,46.2,0
Italy,C02-Antihypertensives,4.4,Males at age 40,41.7,0
Italy,C03-Diuretics,2.6,Females at age 40,46.2,0
Italy,C03-Diuretics,2.6,Males at age 40,41.7,0
Italy,C07-Beta blocking agents,7.2,Females at age 40,46.2,0
Italy,C07-Beta blocking agents,7.2,Males at age 40,41.7,0
Italy,C08-Calcium channel blockers,7.1,Females at age 40,46.2,0
Italy,C08-Calcium channel blockers,7.1,Males at age 40,41.7,0
Italy,C09-Agents acting on the Renin-Angiotensin system,31.1,Females at age 40,46.2,0
Italy,C09-Agents acting on the Renin-Angiotensin system,31.1,Males at age 40,41.7,0
Italy,C10-Lipid modifying agents,22.4,Females at age 40,46.2,0
Italy,C10-Lipid modifying agents,22.4,Males at age 40,41.7,0
Italy,G-Genito urinary system and sex hormones,11.8,Females at age 40,46.2,0
Italy,G-Genito urinary system and sex hormones,11.8,Males at age 40,41.7,0
Italy,G03-Sex hormones and modulators of the genital system,3.4,Females at age 40,46.2,0
Italy,G03-Sex hormones and modulators of the genital system,3.4,Males at age 40,41.7,0
Italy,"H-Systemic hormonal preparations, excluding sex hormones and insulins",10.9,Females at age 40,46.2,0
Italy,"H-Systemic hormonal preparations, excluding sex hormones and insulins",10.9,Males at age 40,41.7,0
Italy,J-Antiinfectives for systemic use,54.4,Females at age 40,46.2,0
Italy,J-Antiinfectives for systemic use,54.4,Males at age 40,41.7,0
Italy,J01-Antibacterials for systemic use,21.7,Females at age 40,46.2,0
Italy,J01-Antibacterials for systemic use,21.7,Males at age 40,41.7,0
Italy,M-Musculo-skeletal system,11.3,Females at age 40,46.2,0
Italy,M-Musculo-skeletal system,11.3,Males at age 40,41.7,0
Italy,M01A-Antiinflammatory and antirheumatic products non-steroids,5.2,Females at age 40,46.2,0
Italy,M01A-Antiinflammatory and antirheumatic products non-steroids,5.2,Males at age 40,41.7,0
Italy,N-Nervous system,41.9,Females at age 40,46.2,0
Italy,N-Nervous system,41.9,Males at age 40,41.7,0
Italy,N02-Analgesics,7.7,Females at age 40,46.2,0
Italy,N02-Analgesics,7.7,Males at age 40,41.7,0
Italy,N05B-Anxiolytics,0.1,Females at age 40,46.2,0
Italy,N05B-Anxiolytics,0.1,Males at age 40,41.7,0
Italy,N05C-Hypnotics and sedatives,0.1,Females at age 40,46.2,0
Italy,N05C-Hypnotics and sedatives,0.1,Males at age 40,41.7,0
Italy,N06A-Antidepressants,10.3,Females at age 40,46.2,0
Italy,N06A-Antidepressants,10.3,Males at age 40,41.7,0
Italy,R-Respiratory system,24.5,Females at age 40,46.2,0
Italy,R-Respiratory system,24.5,Males at age 40,41.7,0
Italy,R03-Drugs for obstructive airway diseases,22.4,Females at age 40,46.2,0
Italy,R03-Drugs for obstructive airway diseases,22.4,Males at age 40,41.7,0
Italy,Products not elsewhere classified,119.9,Females at age 40,46.2,1
Italy,Products not elsewhere classified,119.9,Males at age 40,41.7,1
Türkiye,Total pharmaceutical sales,184.2,Females at age 40,42.4,0
Türkiye,Total pharmaceutical sales,184.2,Males at age 40,37.6,0
Türkiye,A-Alimentary tract and metabolism,27.3,Females at age 40,42.4,0
Türkiye,A-Alimentary tract and metabolism,27.3,Males at age 40,37.6,0
Türkiye,A02A-Antacids,1.2,Females at age 40,42.4,0
Türkiye,A02A-Antacids,1.2,Males at age 40,37.6,0
Türkiye,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),5.0,Females at age 40,42.4,0
Türkiye,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),5.0,Males at age 40,37.6,0
Türkiye,A10-Drugs used in diabetes,10.7,Females at age 40,42.4,0
Türkiye,A10-Drugs used in diabetes,10.7,Males at age 40,37.6,0
Türkiye,B-Blood and blood forming organs,11.3,Females at age 40,42.4,0
Türkiye,B-Blood and blood forming organs,11.3,Males at age 40,37.6,0
Türkiye,C-Cardiovascular system,16.8,Females at age 40,42.4,0
